"GEO_ID","NAME","B19001B_001E","B19001B_001M","B19001B_002E","B19001B_002M","B19001B_003E","B19001B_003M","B19001B_004E","B19001B_004M","B19001B_005E","B19001B_005M","B19001B_006E","B19001B_006M","B19001B_007E","B19001B_007M","B19001B_008E","B19001B_008M","B19001B_009E","B19001B_009M","B19001B_010E","B19001B_010M","B19001B_011E","B19001B_011M","B19001B_012E","B19001B_012M","B19001B_013E","B19001B_013M","B19001B_014E","B19001B_014M","B19001B_015E","B19001B_015M","B19001B_016E","B19001B_016M","B19001B_017E","B19001B_017M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more"
"0500000US36095","Schoharie County, New York","74","23","13","18","5","7","0","25","0","25","2","3","4","7","0","25","0","25","0","25","0","25","16","14","14","14","18","18","2","5","0","25","0","25"
"0500000US36067","Onondaga County, New York","18814","472","2980","324","2075","295","1516","269","1040","202","1304","238","1367","228","1096","206","834","176","1043","226","1208","215","1041","199","1459","224","810","176","443","133","410","132","188","79"
"0500000US36019","Clinton County, New York","221","95","6","11","12","15","0","28","0","28","0","28","27","39","18","21","18","17","29","30","20","19","41","46","10","20","12","18","15","24","13","15","0","28"
"0500000US36099","Seneca County, New York","137","189","0","25","4","8","0","25","35","99","5","14","21","59","12","16","3","8","17","26","5","8","0","25","18","18","14","37","0","25","0","25","3","5"
"0500000US36079","Putnam County, New York","831","143","30","46","0","28","0","28","0","28","95","66","0","28","0","28","27","32","42","64","26","42","85","57","115","57","97","69","47","40","68","57","199","83"
"0500000US36033","Franklin County, New York","171","96","48","41","50","71","0","28","0","28","0","28","0","28","0","28","19","31","0","28","9","15","10","16","13","21","22","37","0","28","0","28","0","28"
"0500000US36069","Ontario County, New York","938","165","92","56","97","59","92","58","108","65","58","63","27","36","82","58","62","50","107","95","28","28","92","64","46","53","12","14","0","28","35","32","0","28"
"0500000US36081","Queens County, New York","137307","1669","8414","602","6526","574","5269","502","5531","438","4916","501","5249","520","5524","565","5820","462","5215","490","9946","660","13750","755","19851","1037","13395","693","9910","653","10971","678","7020","508"
"0500000US36101","Steuben County, New York","471","75","40","39","65","39","27","27","20","22","23","24","3","4","52","48","5","7","28","22","5","7","42","32","24","21","88","55","25","26","23","32","1","3"
"0500000US36041","Hamilton County, New York","1","3","0","12","1","3","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"0500000US36115","Washington County, New York","149","76","0","28","87","85","0","28","0","28","7","11","30","32","0","28","0","28","0","28","0","28","25","25","0","28","0","28","0","28","0","28","0","28"
"0500000US36013","Chautauqua County, New York","850","166","162","77","133","73","135","93","93","55","3","6","67","73","29","28","3","6","16","17","105","71","48","42","8","13","14","17","17","24","17","21","0","28"
"0500000US36047","Kings County, New York","318326","2052","41280","1491","22032","891","17412","996","16347","1062","15114","918","16315","970","15016","802","14819","824","12261","758","21773","963","28979","1079","35184","1268","22552","950","14111","752","14250","686","10881","691"
"0500000US36061","New York County, New York","100834","2080","15164","1219","11738","1031","7243","783","5662","639","4937","632","5206","596","4123","541","3946","540","2975","485","7001","615","7062","829","9278","898","5390","650","3378","493","3662","475","4069","494"
"0500000US36107","Tioga County, New York","80","62","2","4","0","25","2","4","0","25","0","25","0","25","7","11","0","25","0","25","5","8","33","43","18","32","0","25","13","18","0","25","0","25"
"0500000US36011","Cayuga County, New York","535","114","71","91","110","106","25","30","0","28","64","56","63","57","42","33","0","28","45","51","42","44","59","49","7","11","0","28","7","11","0","28","0","28"
"0500000US36073","Orleans County, New York","625","141","106","90","43","43","0","25","38","77","32","37","74","89","8","14","7","11","12","20","75","78","59","55","40","55","116","126","0","25","15","30","0","25"
"0500000US36091","Saratoga County, New York","1381","214","102","83","48","57","58","67","99","87","19","21","61","74","12","17","0","28","63","63","107","62","169","89","222","103","153","84","157","110","10","19","101","77"
"0500000US36087","Rockland County, New York","11272","481","630","174","307","126","409","184","450","186","454","184","366","139","437","178","499","203","281","111","618","191","1061","232","1402","243","959","244","916","213","1066","193","1417","218"
"0500000US36021","Columbia County, New York","876","99","97","61","90","66","74","63","33","42","37","33","93","52","53","54","103","62","27","24","51","36","78","64","71","52","23","20","0","28","39","37","7","10"
"0500000US36049","Lewis County, New York","35","26","14","21","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","5","7","0","22","16","20","0","22","0","22","0","22","0","22"
"0500000US36063","Niagara County, New York","5939","338","883","188","812","179","590","127","526","136","441","126","294","141","375","126","174","67","271","134","326","121","408","141","253","99","376","165","114","72","64","58","32","28"
"0500000US36119","Westchester County, New York","50654","1125","4095","525","2701","398","2459","381","2641","422","2416","373","2173","362","1965","331","1682","303","1831","354","3648","420","4506","462","5465","583","4647","490","3276","389","3589","458","3560","417"
"0500000US36025","Delaware County, New York","162","60","47","36","14","17","12","15","3","6","19","28","9","14","0","25","23","25","6","9","1","3","5","8","0","25","2","4","12","16","9","23","0","25"
"0500000US36031","Essex County, New York","4","4","1","3","0","25","0","25","1","2","0","25","1","2","0","25","0","25","0","25","0","25","0","25","1","3","0","25","0","25","0","25","0","25"
"0500000US36057","Montgomery County, New York","367","108","86","78","42","45","0","25","0","25","5","10","29","31","128","102","28","34","9","19","0","25","0","25","33","42","0","25","0","25","7","13","0","25"
"0500000US36059","Nassau County, New York","46028","874","2225","322","1295","259","1034","198","1140","228","1329","277","1403","324","1217","252","1556","278","1158","249","2120","348","3733","414","6227","553","4923","451","4500","459","6334","457","5834","493"
"0500000US36085","Richmond County, New York","16755","628","3515","529","1070","203","903","217","610","193","497","152","506","165","512","223","577","155","717","201","1217","260","970","214","1774","276","933","232","1112","236","1264","239","578","136"
"0500000US36097","Schuyler County, New York","18","19","0","19","0","19","11","18","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","7","10","0","19","0","19","0","19","0","19"
"0500000US36109","Tompkins County, New York","1124","200","221","116","171","127","92","81","45","46","36","32","44","38","9","16","108","83","70","67","81","82","39","34","71","50","36","39","50","60","18","21","33","38"
"0500000US36017","Chenango County, New York","198","60","31","31","0","25","4","7","0","25","7","11","19","17","0","25","0","25","18","22","0","25","35","39","8","10","6","9","22","30","0","25","48","44"
"0500000US36023","Cortland County, New York","265","138","0","25","25","42","0","25","87","100","22","27","18","27","0","25","6","7","0","25","17","23","0","25","57","64","0","25","33","49","0","25","0","25"
"0500000US36045","Jefferson County, New York","2131","292","133","84","51","41","49","41","112","78","141","97","184","139","109","80","71","44","155","105","453","198","142","103","470","184","45","42","0","28","16","24","0","28"
"0500000US36065","Oneida County, New York","4473","318","958","216","394","117","419","153","325","142","316","109","248","127","298","119","95","72","135","82","325","106","270","119","188","76","274","123","32","32","93","77","103","67"
"0500000US36103","Suffolk County, New York","31864","790","2250","374","995","226","1205","313","1028","234","1217","323","831","265","1132","326","1184","294","961","250","2218","317","2696","373","4145","522","3496","426","2243","313","3743","422","2520","328"
"0500000US36121","Wyoming County, New York","33","23","4","6","0","25","0","25","0","25","0","25","12","16","0","25","0","25","9","12","0","25","0","25","8","11","0","25","0","25","0","25","0","25"
"0500000US36015","Chemung County, New York","1626","258","300","127","277","126","37","35","39","31","165","118","272","186","96","61","24","26","56","73","131","89","104","96","19","18","35","44","44","35","24","27","3","4"
"0500000US36075","Oswego County, New York","214","87","86","62","15","17","5","9","1","3","26","38","8","15","11","18","0","28","0","28","4","8","11","14","9","15","0","28","38","37","0","28","0","28"
"0500000US36077","Otsego County, New York","310","74","37","33","54","44","30","34","4","7","17","19","3","6","0","28","51","45","0","28","24","33","32","25","8","12","17","17","0","28","0","28","33","24"
"0500000US36117","Wayne County, New York","708","135","152","96","67","43","58","52","64","79","37","32","21","26","57","55","28","34","14","17","37","31","30","19","109","58","18","40","0","28","0","28","16","24"
"0500000US36001","Albany County, New York","15021","515","1833","328","1500","285","1276","336","1143","254","943","232","1502","377","548","186","774","222","646","201","971","247","1298","221","1195","276","624","230","294","95","265","105","209","100"
"0500000US36007","Broome County, New York","3759","335","648","180","421","133","615","199","366","137","180","92","168","79","147","90","169","106","89","72","273","97","178","70","253","99","138","70","63","59","51","45","0","28"
"0500000US36029","Erie County, New York","52002","925","8850","640","5760","551","3733","491","3871","443","3281","432","3500","366","2608","389","2689","343","1873","297","3769","444","3382","427","4141","443","1994","337","927","224","970","226","654","212"
"0500000US36053","Madison County, New York","236","163","8","12","0","28","0","28","22","25","0","28","0","28","30","47","0","28","0","28","0","28","145","176","0","28","0","28","31","44","0","28","0","28"
"0500000US36105","Sullivan County, New York","1710","211","117","48","104","86","174","94","96","72","156","118","149","88","54","66","63","67","75","58","133","77","174","78","233","143","108","80","9","11","63","57","2","4"
"0500000US36037","Genesee County, New York","665","146","106","70","98","90","26","28","32","34","77","78","65","78","39","50","6","9","0","28","38","30","56","56","72","51","41","49","9","13","0","28","0","28"
"0500000US36071","Orange County, New York","13887","574","914","252","703","175","626","207","466","166","640","249","792","217","337","114","599","191","308","131","870","239","1605","276","1630","240","1360","273","1133","235","1215","261","689","195"
"0500000US36005","Bronx County, New York","175887","1624","23979","1181","15871","806","10685","722","8653","689","9738","663","8889","646","8615","646","9336","795","6319","517","13518","908","15602","882","17931","942","11125","720","6365","652","5674","603","3587","474"
"0500000US36035","Fulton County, New York","202","72","37","39","34","34","0","28","41","36","0","28","0","28","0","28","0","28","0","28","0","28","37","55","11","20","36","31","0","28","0","28","6","16"
"0500000US36083","Rensselaer County, New York","3874","272","622","175","392","169","381","137","197","94","202","112","275","142","74","62","124","79","266","141","361","123","196","79","393","124","109","56","177","72","77","56","28","41"
"0500000US36027","Dutchess County, New York","9590","494","803","265","760","235","458","184","304","100","545","192","499","163","527","163","474","166","384","136","660","208","629","205","1200","259","826","197","517","185","584","170","420","130"
"0500000US36043","Herkimer County, New York","163","91","79","76","0","28","12","17","0","28","0","28","0","28","0","28","0","28","2","4","16","17","12","16","30","46","0","28","12","21","0","28","0","28"
"0500000US36089","St. Lawrence County, New York","122","66","20","22","0","28","9","14","0","28","0","28","9","16","0","28","0","28","19","29","0","28","1","2","53","49","0","28","11","17","0","28","0","28"
"0500000US36113","Warren County, New York","219","89","0","28","4","7","9","12","21","33","0","28","47","43","0","28","19","31","4","7","0","28","9","14","37","37","6","11","0","28","15","24","48","65"
"0500000US36055","Monroe County, New York","41928","724","6340","528","5048","456","3277","406","3539","370","2740","345","2597","351","2273","287","1853","305","1830","284","2755","355","3373","388","2770","365","1636","289","727","159","686","195","484","158"
"0500000US36111","Ulster County, New York","2951","278","350","153","186","74","133","86","398","153","225","130","225","137","182","95","98","64","85","66","191","95","232","90","209","118","107","59","36","33","147","91","147","92"
"0500000US36051","Livingston County, New York","282","72","62","41","33","29","30","41","30","28","6","10","20","20","9","11","11","13","0","28","20","27","10","15","38","37","0","28","13","24","0","28","0","28"
"0500000US36039","Greene County, New York","262","143","38","39","4","10","16","30","0","25","0","25","4","8","0","25","0","25","0","25","15","24","97","123","45","44","16","22","23","30","4","6","0","25"
"0500000US36003","Allegany County, New York","32","32","2","10","0","25","5","8","0","25","0","25","0","25","0","25","19","21","0","25","0","25","1","3","4","6","0","25","0","25","1","9","0","25"
"0500000US36009","Cattaraugus County, New York","279","105","98","79","5","9","37","42","0","28","5","7","39","47","4","8","13","21","0","28","2","4","5","7","18","20","45","43","8","13","0","28","0","28"
"0500000US36093","Schenectady County, New York","4867","384","754","157","387","180","393","203","358","152","321","120","428","219","304","131","290","133","66","50","219","119","288","100","463","156","263","109","136","75","197","89","0","28"
"0500000US36123","Yates County, New York","45","39","0","22","19","27","6","11","0","22","0","22","3","5","0","22","0","22","17","24","0","22","0","22","0","22","0","22","0","22","0","22","0","22"
