id,County,Tot,TotWhite alone,TotBlack or African American alone,TotAmerican Indian and Alaska Native alone,TotAsian alone,TotNative Hawaiian and Other Pacific Islander alone,TotSome other race alone,TotTwo or more races,TotTwo or more racesTwo races including Some other race,"TotTwo or more racesTwo races excluding Some other race, and three or more races",TableReferenceId,CensusNotes 
0500000US36095,Schoharie County,31364,30007,541,49,280,13,128,346,36,310,B02001,TBD
0500000US36067,Onondaga County,464242,370976,52888,2389,17130,116,4765,15978,1329,14649,B02001,TBD
0500000US36019,Clinton County,80794,73391,3475,208,1183,26,1474,1037,110,927,B02001,TBD
0500000US36099,Seneca County,34612,31669,1707,135,242,0,234,625,28,597,B02001,TBD
0500000US36079,Putnam County,99070,86904,2881,205,2019,24,4834,2203,434,1769,B02001,TBD
0500000US36033,Franklin County,50692,41778,2965,3618,255,94,1099,883,213,670,B02001,TBD
0500000US36069,Ontario County,109472,101467,2770,487,1455,37,1480,1776,331,1445,B02001,TBD
0500000US36081,Queens County,2298513,896722,421038,9977,580709,1100,309236,79731,30729,49002,B02001,TBD
0500000US36101,Steuben County,96927,92017,1553,102,1484,15,374,1382,81,1301,B02001,TBD
0500000US36041,Hamilton County,4575,4420,37,16,1,1,14,86,0,86,B02001,TBD
0500000US36115,Washington County,61828,57974,2025,197,347,0,376,909,92,817,B02001,TBD
0500000US36013,Chautauqua County,129656,119857,3326,425,694,68,2586,2700,217,2483,B02001,TBD
0500000US36047,Kings County,2600747,1130251,847116,8427,306829,1047,230448,76629,16090,60539,B02001,TBD
0500000US36061,New York County,1632480,917402,241850,6995,196347,867,193569,75450,18768,56682,B02001,TBD
0500000US36107,Tioga County,49045,47371,322,91,346,18,103,794,48,746,B02001,TBD
0500000US36011,Cayuga County,77868,71522,3361,235,399,0,552,1799,208,1591,B02001,TBD
0500000US36073,Orleans County,41175,36583,2541,151,326,21,802,751,58,693,B02001,TBD
0500000US36091,Saratoga County,227377,211245,3960,472,6478,37,1236,3949,333,3616,B02001,TBD
0500000US36087,Rockland County,323686,228967,39715,544,19216,33,26239,8972,2687,6285,B02001,TBD
0500000US36021,Columbia County,60919,54318,2688,33,1127,0,1011,1742,151,1591,B02001,TBD
0500000US36049,Lewis County,26719,25829,206,55,145,23,186,275,54,221,B02001,TBD
0500000US36063,Niagara County,211704,185192,15145,2203,2277,75,1590,5222,439,4783,B02001,TBD
0500000US36119,Westchester County,968815,630592,142443,4059,57410,262,104252,29797,8890,20907,B02001,TBD
0500000US36025,Delaware County,45502,43108,839,70,363,8,393,721,77,644,B02001,TBD
0500000US36031,Essex County,37751,35186,1185,78,134,8,460,700,150,550,B02001,TBD
0500000US36057,Montgomery County,49426,43412,1007,71,420,0,3059,1457,411,1046,B02001,TBD
0500000US36059,Nassau County,1356564,930446,158708,3583,125767,351,96581,41128,11239,29889,B02001,TBD
0500000US36085,Richmond County,474101,352259,48591,1080,41427,197,18757,11790,2363,9427,B02001,TBD
0500000US36097,Schuyler County,17992,17353,224,31,107,0,32,245,17,228,B02001,TBD
0500000US36109,Tompkins County,102962,82924,4272,224,10386,31,1300,3825,239,3586,B02001,TBD
0500000US36017,Chenango County,48348,46395,472,166,206,10,233,866,99,767,B02001,TBD
0500000US36023,Cortland County,48123,45625,712,111,387,9,227,1052,21,1031,B02001,TBD
0500000US36045,Jefferson County,114448,98570,6894,533,1884,245,1708,4614,588,4026,B02001,TBD
0500000US36065,Oneida County,230782,197739,14398,491,9184,63,3443,5464,730,4734,B02001,TBD
0500000US36103,Suffolk County,1487901,1200553,116880,3967,57527,451,73643,34880,7924,26956,B02001,TBD
0500000US36121,Wyoming County,40565,37162,1837,228,155,0,454,729,62,667,B02001,TBD
0500000US36015,Chemung County,85740,75443,5262,294,1333,10,556,2842,236,2606,B02001,TBD
0500000US36075,Oswego County,119104,113885,1325,190,882,16,604,2202,120,2082,B02001,TBD
0500000US36077,Otsego County,60244,56254,1245,92,829,5,624,1195,247,948,B02001,TBD
0500000US36117,Wayne County,90856,84701,2631,144,606,78,786,1910,255,1655,B02001,TBD
0500000US36001,Albany County,307426,232402,38407,516,19928,133,4527,11513,1130,10383,B02001,TBD
0500000US36007,Broome County,194402,167041,11177,392,8238,89,1791,5674,511,5163,B02001,TBD
0500000US36029,Erie County,919866,716987,123475,4558,31800,309,20247,22490,4132,18358,B02001,TBD
0500000US36053,Madison County,71359,67574,1251,464,630,73,284,1083,151,932,B02001,TBD
0500000US36105,Sullivan County,75211,60702,6297,191,1198,0,3762,3061,232,2829,B02001,TBD
0500000US36037,Genesee County,58112,53404,1304,510,477,0,997,1420,47,1373,B02001,TBD
0500000US36071,Orange County,378227,279802,40849,1308,10034,229,32663,13342,4029,9313,B02001,TBD
0500000US36005,Bronx County,1437872,306423,490823,9596,52388,1128,525040,52474,22111,30363,B02001,TBD
0500000US36035,Fulton County,53743,50849,1085,192,382,15,468,752,54,698,B02001,TBD
0500000US36083,Rensselaer County,159431,137648,10239,212,4134,9,1517,5672,310,5362,B02001,TBD
0500000US36027,Dutchess County,293894,230158,30830,1061,10664,117,11711,9353,1296,8057,B02001,TBD
0500000US36043,Herkimer County,62505,59916,849,150,331,93,313,853,102,751,B02001,TBD
0500000US36089,St. Lawrence County,109558,101766,2642,828,1153,68,1127,1974,253,1721,B02001,TBD
0500000US36113,Warren County,64480,61797,852,168,677,32,173,781,86,695,B02001,TBD
0500000US36055,Monroe County,744248,566271,113538,3378,26661,120,12226,22054,2921,19133,B02001,TBD
0500000US36111,Ulster County,179303,152289,10615,368,3452,131,4969,7479,1421,6058,B02001,TBD
0500000US36051,Livingston County,63907,59696,1805,128,833,22,429,994,126,868,B02001,TBD
0500000US36039,Greene County,47617,42731,2936,281,516,5,489,659,77,582,B02001,TBD
0500000US36003,Allegany County,47025,44860,652,133,525,12,276,567,24,543,B02001,TBD
0500000US36009,Cattaraugus County,77686,71439,1247,2380,648,0,419,1553,129,1424,B02001,TBD
0500000US36093,Schenectady County,154883,119664,15965,351,7187,66,5180,6470,1315,5155,B02001,TBD
0500000US36123,Yates County,25009,24061,226,53,189,7,164,309,23,286,B02001,TBD
